Station,Year,Month,MaxT (Deg.Cel),MinT(Deg.Cel)
Dinajpur (10120),2018,10,31.33,21.48
Dinajpur (10120),2018,11,29.6,15.71
Dinajpur (10120),2018,12,25.51,11.35
Dinajpur (10120),2019,1,25.8,10.44
Dinajpur (10120),2019,2,26.55,13.76
Dinajpur (10120),2019,3,30.7,16.6
Dinajpur (10120),2019,4,31.36,21.48
Dinajpur (10120),2019,5,34.05,23.75
Dinajpur (10120),2019,6,34.17,25.57
Dinajpur (10120),2019,7,32.86,26.56
Dinajpur (10120),2019,8,34.61,26.99
Dinajpur (10120),2019,9,31.92,25.72
Dinajpur (10120),2019,10,30.71,22.68
Dinajpur (10120),2019,11,29.98,18.22
Dinajpur (10120),2019,12,23.37,11.4
Dinajpur (10120),2020,1,22.43,10.92
Dinajpur (10120),2020,2,25.9,11.93
